date,title,amount
2026-02-23,Supermercado Jva,365.31
2026-02-23,Ebn*Xsolla,9.90
2026-02-21,Pagamento recebido,-511.03
2026-02-21,Desconto Antecipação ,-7.30
2026-02-21,Desconto Antecipação ,-0.99
2026-02-21,Amazon - Parcela 3/3,39.73
2026-02-21,Amazon - Parcela 2/3,39.73
2026-02-21,Amazon Marketplace - Parcela 4/4,146.62
2026-02-21,Amazon Marketplace - Parcela 3/4,146.62
2026-02-21,Amazon Marketplace - Parcela 2/4,146.62
2026-02-20,Pagamento recebido,-1086.49
2026-02-19,Drogaria Sao Paulo - NuPay,174.08
2026-02-19,Dl*Google Chatgp,95.99
2026-02-18,IOF de compra internacional,0.95
2026-02-18,Openai,27.22
2026-02-18,Amazon - Parcela 1/3,39.73
2026-02-18,Amazon Marketplace - Parcela 1/4,146.64
2026-02-17,Dl*Google Youtub,53.90
2026-02-16,Contabilizei Tecnologi,122.48
2026-02-15,Drogasil2573,144.14
2026-02-15,Auto Ban Jundiai,13.70
2026-02-15,Maternidade Star,90.00
2026-02-14,Mcs Estacionamento,48.00
2026-02-14,Doces Santa Rita,11.35
2026-02-14,Drogaria Sao Paulo,118.31
2026-02-12,Pagamento recebido,-2016.03
2026-02-12,Pagamento recebido,-3502.98
2026-02-12,Desconto Antecipação ,-1.29
2026-02-12,Desconto Antecipação ,-2.59
2026-02-12,Desconto Antecipação ,-7.98
2026-02-12,Desconto Antecipação ,-0.16
2026-02-12,Desconto Antecipação ,-3.92
2026-02-12,Desconto Antecipação ,-0.79
2026-02-12,Desconto Antecipação ,-0.50
2026-02-12,Desconto Antecipação ,-2.66
2026-02-12,Desconto Antecipação ,-3.24
2026-02-12,Desconto Antecipação ,-5.15
2026-02-12,Desconto Antecipação ,-0.29
2026-02-12,Amazon Marketplace Cc - Parcela 6/8,168.61
2026-02-12,Amazon Marketplace Cc - Parcela 7/8,168.61
2026-02-12,Amazon Marketplace Cc - Parcela 8/8,168.61
2026-02-12,Amazonmktplc*Pratitolt - Parcela 6/7,156.86
2026-02-12,Amazon Marketplace - Parcela 3/4,206.30
2026-02-12,Amazonmktplc*Pratitolt - Parcela 7/7,156.86
2026-02-12,Amazon Marketplace - Parcela 4/4,206.30
2026-02-12,Mp *Srbbindustriaecom - Parcela 6/8,53.42
2026-02-12,Mp *Srbbindustriaecom - Parcela 8/8,53.42
2026-02-12,Mp *Srbbindustriaecom - Parcela 7/8,53.42
2026-02-12,Nestle Brasil Ltda. - Parcela 5/6,65.00
2026-02-12,Nestle Brasil Ltda. - Parcela 4/6,65.00
2026-02-12,Nestle Brasil Ltda. - Parcela 6/6,65.00
2026-02-12,Amazon Marketplace - Parcela 3/3,39.60
2026-02-12,Pg *Marazul Comercio - Parcela 3/3,59.71
2026-02-12,Pg *Pacotinho Sling - Parcela 6/6,51.63
2026-02-12,Pg *Pacotinho Sling - Parcela 5/6,51.63
2026-02-12,Amazonmktplc*Mainycris - Parcela 5/5,35.09
2026-02-12,Casa Granado - Parcela 4/5,31.60
2026-02-12,Casa Granado - Parcela 5/5,31.60
2026-02-12,Amazonmktplc*Vitrinedi - Parcela 6/7,52.11
2026-02-12,Amazonmktplc*Vitrinedi - Parcela 7/7,52.11
2026-02-12,Amazonmktplc*Vitrinedi - Parcela 5/7,52.11
2026-02-11,Amazon Servicos de Var,19.90
2026-02-10,REVITARE,667.42
2026-02-10,ERJ - DETRAN,171.75
2026-02-10,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,152.04
2026-02-09,Twconveniencia,21.79
2026-02-07,Wellhub Gympass Br Wel,67.51
2026-02-06,"Crédito de ""AMAZON MARKETPLACE""",-21.30
2026-02-06,"Estorno de ""AMAZON MARKETPLACE""",-39.60
2026-02-06,Gl Variedades,8.99
2026-02-05,Oxxo Chico Nobre,9.48
2026-02-05,Br1*Cashbarber,109.00
2026-02-05,Marcia Cristiani dos S,54.00
2026-02-05,Sergiohidekazu,185.00
2026-02-04,Pagamento recebido,-1199.88
2026-02-04,Drogaria Japi,15.50
2026-02-03,Amazon Marketplace Cc - Parcela 5/8,168.61
2026-02-03,Amazon Retail Br Cpi - Parcela 2/2,44.73
2026-02-03,Casa Granado - Parcela 3/5,31.60
2026-02-03,Amazon Marketplace - Parcela 2/4,206.30
2026-02-03,Amazonmktplc*Pratitolt - Parcela 5/7,156.86
2026-02-03,Mp *Srbbindustriaecom - Parcela 5/8,53.42
2026-02-03,Nestle Brasil Ltda. - Parcela 3/6,65.00
2026-02-03,Amazon Aws Servicos Br,4.05
2026-02-03,Amazon Marketplace - Parcela 2/3,39.60
2026-02-03,Pg *Marazul Comercio - Parcela 2/3,59.71
2026-02-03,AXTUR FRETAMENTO E TRANSPORTE EXECU - 2/3,383.13
2026-02-03,Marcela Siqueira Moreira - 2/2,259.11
2026-02-03,Pg *Pacotinho Sling - Parcela 4/6,51.63
2026-02-03,Amazonmktplc*Mainycris - Parcela 4/5,35.09
2026-02-03,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA - 2/3,373.84
2026-02-03,Amazonmktplc*Vitrinedi - Parcela 4/7,52.11
2026-02-03,Supermercado Jva - Parcela 3/3,96.68
