date,title,amount
2026-02-02,Twconveniencia,15.89
2026-02-02,Rd Saude,29.90
2026-02-02,Covabra Supermercados,444.07
2026-02-02,Marcela Siqueira Moreira - 1/2,259.11
2026-02-02,Supermercado Jva,70.78
2026-02-02,Raia Drogasil,92.86
2026-02-02,Dcs Supermercados,12.98
2026-02-01,Auto Ban Jundiai,13.70
2026-02-01,Maternidade Star,65.00
2026-02-01,Auto Ban Jundiai,13.70
2026-01-31,Supermercado Jva,46.88
2026-01-31,Florabemteviltda,30.00
2026-01-31,Florabemteviltda,105.00
2026-01-30,Auto Posto Parque da U,301.45
2026-01-30,Noz Paes e Doces,15.80
2026-01-29,Supermercado Jva,72.67
2026-01-29,Pagamento recebido,-939.65
2026-01-28,Google One,14.99
2026-01-28,Netflix.Com,44.90
2026-01-28,"IOF de ""Github Inc.""",3.81
2026-01-28,Github Inc.,108.98
2026-01-28,Adega dos Primos,9.00
2026-01-27,"IOF de ""Medium.Com""",1.01
2026-01-27,Twconveniencia,9.88
2026-01-27,Medium.Com,29.03
2026-01-26,Covabra Supermercados,89.69
2026-01-26,Supermercado Jva,32.12
2026-01-25,Pg *Marazul Comercio - Parcela 1/3,59.72
2026-01-25,Amazon Marketplace - Parcela 1/4,206.31
2026-01-24,Ebn*Xsolla,9.90
2026-01-24,Pagamento recebido,-1000.00
2026-01-24,Pagamento recebido,-1571.46
2026-01-23,Oba Hortifruti,22.30
2026-01-23,Supermercado Jva,59.33
2026-01-23,Twconveniencia,8.75
2026-01-20,Google Chatgpt,95.99
2026-01-20,Smart Break*Vmt*Smartb,4.09
2026-01-20,Pontodoacai,5.90
2026-01-18,Amazon Retail Br Cpi - Parcela 1/2,44.73
2026-01-18,Garden Cafe Jundiai,257.39
2026-01-18,Amazon Marketplace - Parcela 1/3,39.60
2026-01-18,Multiplan Administrado,17.00
2026-01-18,Contabilizei Tecnologi,120.00
2026-01-18,Pangioni Cafe,62.70
2026-01-18,Cea Jns 257 Ecpc,75.98
2026-01-17,Google Youtube,53.90
2026-01-16,Pagamento recebido,-1000.00
2026-01-14,Pontodoacai,5.90
2026-01-10,INDIGO,19.96
2026-01-10,"IOF de ""Anthropic""",0.97
2026-01-10,Anthropic,27.93
2026-01-10,AXTUR FRETAMENTO E TRANSPORTE EXECU - 1/3,383.13
2026-01-10,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA - 1/3,373.84
2026-01-07,Wellhub Gympass Br Wel,195.71
2026-01-07,Auto Ban Jundiai,13.60
2026-01-07,Auto Ban Jundiai,13.60
2026-01-05,Br1*Cashbarber,109.00
2026-01-05,Pagamento recebido,-100.00
2026-01-04,Rodoanel Pedagio,3.50
2026-01-04,Auto Ban Jundiai,13.70
2026-01-04,Pagamento recebido,-2243.36
2026-01-04,Pista,4.30
2026-01-03,Amazon Marketplace Cc - Parcela 4/8,168.61
2026-01-03,Auto Ban Jundiai,13.70
2026-01-03,Amazon Aws Servicos Br,4.12
2026-01-03,H&M Loja Dpedro Campin - Parcela 3/3,36.63
2026-01-03,PAGAR.ME PAGAMENTOS - 2/2,101.70
2026-01-03,Rodoanel Pedagio,3.50
2026-01-03,Rodoanel Pedagio,3.50
2026-01-03,Casa Granado - Parcela 2/5,31.60
2026-01-03,Amazonmktplc*Clbprodut - Parcela 2/2,33.45
2026-01-03,Amazonmktplc*Vitrinedi - Parcela 3/7,52.11
2026-01-03,Mp *Srbbindustriaecom - Parcela 4/8,53.42
2026-01-03,Twconveniencia,37.82
2026-01-03,Amazonmktplc*Pratitolt - Parcela 4/7,156.86
2026-01-03,AXTUR FRETAMENTO E TRANSPORTE EXECU - 2/2,542.57
2026-01-03,Nestle Brasil Ltda. - Parcela 2/6,65.00
2026-01-03,Auto Ban Jundiai,13.70
2026-01-03,Pg *Pacotinho Sling - Parcela 3/6,51.63
2026-01-03,Amazonmktplc*Mainycris - Parcela 3/5,35.09
2026-01-03,Supermercado Carpan,67.32
2026-01-03,Supermercado Jva - Parcela 2/3,96.68
