date,title,amount
2026-02-21,Mercadolivre*Mercadol,212.79
2026-02-12,Pagamento recebido,-3924.66
2026-02-12,Pagamento recebido,-174.11
2026-02-12,Desconto Antecipação ,-0.84
2026-02-12,Desconto Antecipação ,-0.41
2026-02-12,Desconto Antecipação ,-0.50
2026-02-12,Amazonmktplc*Mariarosa - Parcela 10/10,59.78
2026-02-12,Amazon Marketplace Cc - Parcela 5/6,33.76
2026-02-12,Amazon Marketplace Cc - Parcela 6/6,33.76
2026-02-12,Mercadolivre*3produto - Parcela 4/4,48.56
2026-02-10,DAE JUNDIAI,265.67
2026-02-10,SEFAZ RJ - SECRETARIA DE ESTADO DE FAZENDA DO RJ,1110.97
2026-02-10,Pedro Andrietta Chagas - 1/2,461.56
2026-02-10,VIVO-SP TELESP CELUL,143.81
2026-02-08,Multiplan Administrado,17.00
2026-02-03,Amazonmktplc*Mariarosa - Parcela 9/10,59.78
2026-02-03,Amazon Marketplace Cc - Parcela 4/6,33.76
2026-02-03,Amazon Marketplace - Parcela 5/5,106.62
2026-02-03,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA - 2/2,738.24
2026-02-03,ESTUDIO MATER LTDA - 4/6,363.84
2026-02-03,CPFL PIRATININGA - 2/2,160.56
2026-02-03,30036 Jundiai Shoppin - Parcela 3/3,86.66
2026-02-03,Drogasil2573 - Parcela 3/3,61.01
2026-02-03,Supermercado Jva - Parcela 2/2,266.58
2026-02-03,Mercadolivre*3produto - Parcela 3/4,48.56
