date,title,amount
2026-01-29,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA - 1/2,738.24
2026-01-29,Pagamento recebido,-1004.84
2026-01-26,Supermercado Jva - Parcela 1/2,266.59
2026-01-24,Pagamento recebido,-4566.52
2026-01-14,Teodora Gastronomia Re,55.00
2026-01-13,Adega dos Primos,12.00
2026-01-11,Quintal Fratelli,204.05
2026-01-11,Gemaxi Administracao,16.00
2026-01-11,Allianz Segu*1 de,309.09
2026-01-10,TELEFONICA BRAS,142.12
2026-01-10,Smart Break,4.09
2026-01-10,CPFL PIRATININGA - 1/2,160.56
2026-01-10,Pedro Andrietta Chagas,1059.86
2026-01-10,Smart Break,5.99
2026-01-08,Drogaria Japi,14.14
2026-01-07,Multifran Quiosques C,23.00
2026-01-07,Auto Posto Harmonia,257.83
2026-01-04,Pagamento recebido,-3941.81
2026-01-03,Daniel de Lima Chagas - 4/4,1114.98
2026-01-03,Cea Rnd 629 Ecpc - Parcela 2/2,67.98
2026-01-03,Lojas Renner Fl - Parcela 2/2,59.85
2026-01-03,Mercadolivre*3produto - Parcela 2/2,29.99
2026-01-03,Amazon Marketplace - Parcela 4/5,106.62
2026-01-03,Drogasil2573 - Parcela 2/3,61.01
2026-01-03,Mercadolivre*3produto - Parcela 2/4,48.56
2026-01-03,Sephoramorumbi - Parcela 5/5,99.80
2026-01-03,ESTUDIO MATER LTDA - 3/6,363.84
2026-01-03,Amazonmktplc*Mariarosa - Parcela 8/10,59.78
2026-01-03,Amazon Marketplace Cc - Parcela 3/6,33.76
2026-01-03,30036 Jundiai Shoppin - Parcela 2/3,86.66
2026-01-03,Sephora Jundiai - Parcela 6/6,54.83
2026-01-03,Amazon Marketplace - Parcela 4/4,115.11
